   1,    x,    x,  110, , ,  
   2,  511,    x,  110, , ,  
   3,  511,   56,  110, , ,  
   4,  511,   56,  110, , ,  
   5,  511,   56,  110, , ,  
   6,  767,   56,  110, , ,  
   7,  767,   97,  110, , ,  
   8,  767,   97,  110, , ,  
   9,  767,   97,  110, , ,  
  10,  895,   97,  110, , ,  
  11,  895,  151,  110, , ,  
  12,  895,  151,  110, , ,  
  13,  895,  151,  110, , ,  
  14,  831,  151,  110, , ,  
  15,  831,  121,  110, , ,  
  16,  831,  121,  110, , ,  
  17,  831,  121,  110, , ,  
  18,  799,  121,  110, , ,  
  19,  799,  108,  110, , ,  
  20,  799,  108,  110, , ,  
  21,  799,  108,  110, , ,  
  22,  815,  108,  110, , ,  
  23,  815,  114,  110, , ,  
  24,  815,  114,  110, , ,  
  25,  815,  114,  110, , ,  
  26,  807,  114,  110, , ,  
  27,  807,  111,  110, , ,  
  28,  807,  111,  110, , ,  
  29,  807,  111,  110, , ,  
  30,  803,  111,  110, , ,  
  31,  803,  110,  110, , ,  
  32,  803,  110,  110, , , 
