   1,    x,    x,   30,  
   2,  511,    x,   30,  
   3,  511,   56,   30,  
   4,  511,   56,   30,  
   5,  511,   56,   30,  
   6,  255,   56,   30,  
   7,  255,   35,   30,  
   8,  255,   35,   30,  
   9,  255,   35,   30,  
  10,  127,   35,   30,  
  11,  127,   29,   30,  
  12,  127,   29,   30,  
  13,  127,   29,   30,  
  14,  191,   29,   30,  
  15,  191,   32,   30,  
  16,  191,   32,   30,  
  17,  191,   32,   30,  
  18,  159,   32,   30,  
  19,  159,   30,   30,  
  20,  159,   30,   30,  

   1,    x,    x,   50,  
   2,  511,    x,   50,  
   3,  511,   56,   50,  
   4,  511,   56,   50,  
   5,  511,   56,   50,  
   6,  255,   56,   50,  
   7,  255,   35,   50,  
   8,  255,   35,   50,  
   9,  255,   35,   50,  
  10,  383,   35,   50,  
  11,  383,   44,   50,  
  12,  383,   44,   50,  
  13,  383,   44,   50,  
  14,  447,   44,   50,  
  15,  447,   49,   50,  
  16,  447,   49,   50,  
  17,  447,   49,   50,  
  18,  479,   49,   50,  
  19,  479,   53,   50,  
  20,  479,   53,   50,  
  21,  479,   53,   50,  
  22,  463,   53,   50,  
  23,  463,   51,   50,  
  24,  463,   51,   50,  
  25,  463,   51,   50,  
  26,  455,   51,   50,  
  27,  455,   50,   50,  
  28,  455,   50,   50,  

   1,    x,    x,   70,  
   2,  511,    x,   70,  
   3,  511,   56,   70,  
   4,  511,   56,   70,  
   5,  511,   56,   70,  
   6,  767,   56,   70,  
   7,  767,   97,   70,  
   8,  767,   97,   70,  
   9,  767,   97,   70,  
  10,  639,   97,   70,  
  11,  639,   71,   70,  
  12,  639,   71,   70,  
  13,  639,   71,   70,  
  14,  575,   71,   70,  
  15,  575,   63,   70,  
  16,  575,   63,   70,  
  17,  575,   63,   70,  
  18,  607,   63,   70,  
  19,  607,   67,   70,  
  20,  607,   67,   70,  
  21,  607,   67,   70,  
  22,  623,   67,   70,  
  23,  623,   69,   70,  
  24,  623,   69,   70,  
  25,  623,   69,   70,  
  26,  631,   69,   70,  
  27,  631,   70,   70,  
  28,  631,   70,   70,  

   1,    x,    x,   90,  
   2,  511,    x,   90,  
   3,  511,   56,   90,  
   4,  511,   56,   90,  
   5,  511,   56,   90,  
   6,  767,   56,   90,  
   7,  767,   97,   90,  
   8,  767,   97,   90,  
   9,  767,   97,   90,  
  10,  639,   97,   90,  
  11,  639,   71,   90,  
  12,  639,   71,   90,  
  13,  639,   71,   90,  
  14,  703,   71,   90,  
  15,  703,   82,   90,  
  16,  703,   82,   90,  
  17,  703,   82,   90,  
  18,  735,   82,   90,  
  19,  735,   89,   90,  
  20,  735,   89,   90,  
  21,  735,   89,   90,  
  22,  751,   89,   90,  
  23,  751,   93,   90,  
  24,  751,   93,   90,  
  25,  751,   93,   90,  
  26,  743,   93,   90,  
  27,  743,   91,   90,  
  28,  743,   91,   90,  
  29,  743,   91,   90,  
  30,  739,   91,   90,  
  31,  739,   90,   90,  
  32,  739,   90,   90,  

   1,    x,    x,  110,  
   2,  511,    x,  110,  
   3,  511,   56,  110,  
   4,  511,   56,  110,  
   5,  511,   56,  110,  
   6,  767,   56,  110,  
