   1,    x,    x,  250, 
   2,    0,    x,  250, 
   3,    0,   22,  250, 
   4, 1022,   22,  250, 
   5, 1022,  314,  250, 
   6,  826,  314,  250, 
   7,  826,  119,  250, 
   8,  826,  119,  250, 
   9,  826,  119,  250, 
  10,  826,  119,  250, 
  11,  826,  119,  250, 
  12, 1022,  119,  250, 
  13, 1022,  314,  250, 
  14,  794,  314,  250, 
  15,  794,  106,  250, 
  16,  794,  106,  250, 
  17,  794,  106,  250, 
  18,  794,  106,  250, 
  19,  794,  106,  250, 
  20,  794,  106,  250, 
  21,  794,  106,  250, 
  22,  794,  106,  250, 
  23,  794,  106,  250, 
  24,  694,  106,  250, 
  25,  694,   80,  250, 
  26,  694,   80,  250, 
  27,  694,   80,  250, 
  28,  694,   80,  250, 
  29,  694,   80,  250, 
  30,  694,   80,  250, 
  31,  694,   80,  250, 
  32,  694,   80,  250, 
  33,  694,   80,  250, 
  34, 1002,   80,  250, 
  35, 1002,  255,  250, 
  36, 1002,  255,  250, 
  37, 1002,  255,  250, 
  38, 1002,  255,  250, 
  39, 1002,  255,  250, 
  40, 1002,  255,  250, 
  41, 1002,  255,  250, 
  42, 1002,  255,  250, 
  43, 1002,  255,  250, 
  44,  994,  255,  250, 
  45,  994,  238,  250, 
  46,  994,  238,  250, 
  47,  994,  238,  250, 
  48,  994,  238,  250, 
  49,  994,  238,  250, 
  50,  994,  238,  250, 
  51,  994,  238,  250, 
  52,  994,  238,  250, 
  53,  994,  238,  250, 
  54,  536,  238,  250, 
  55,  536,   59,  250, 
  56,  536,   59,  250, 
  57,  536,   59,  250, 
  58,  536,   59,  250, 
  59,  536,   59,  250, 
  60,  536,   59,  250, 
  61,  536,   59,  250, 
  62,  536,   59,  250, 
  63,  536,   59,  250, 
  64,  764,   59,  250, 
  65,  764,   96,  250, 
  66,  764,   96,  250, 
  67,  764,   96,  250, 
  68,  764,   96,  250, 
  69,  764,   96,  250, 
  70,  764,   96,  250, 
  71,  764,   96,  250, 
  72,  764,   96,  250, 
  73,  764,   96,  250, 
  74,  703,   96,  250, 
  75,  703,   82,  250, 
  76,  703,   82,  250, 
  77,  703,   82,  250, 
  78,  703,   82,  250, 
  79,  703,   82,  250, 
  80,  703,   82,  250, 
  81,  703,   82,  250, 
  82,  703,   82,  250, 
  83,  703,   82,  250, 
  84,  711,   82,  250, 
  85,  711,   83,  250, 
  86,  711,   83,  250, 
  87,  711,   83,  250, 
  88,  711,   83,  250, 
  89,  711,   83,  250, 
  90,  711,   83,  250, 
  91,  711,   83,  250, 
  92,  711,   83,  250, 
  93,  711,   83,  250, 
  94,  878,   83,  250, 
  95,  878,  142,  250, 
  96,  878,  142,  250, 
  97,  878,  142,  250, 
  98,  878,  142,  250, 
  99,  878,  142,  250, 
 100,  878,  142,  250, 
