      x,    x,  250, 
      0,    x,  250, 
      0,   22,  250, 
   1022,   22,  250, 
   1022,  314,  250, 
    826,  314,  250, 
    826,  119,  250, 
    826,  119,  250, 
    826,  119,  250, 
   826,  119,  250, 
   826,  119,  250, 
  1022,  119,  250, 
  1022,  314,  250, 
   794,  314,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   794,  106,  250, 
   694,  106,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
   694,   80,  250, 
  1002,   80,  250, 
  1002,  255,  250, 
  1002,  255,  250, 
  1002,  255,  250, 
  1002,  255,  250, 
  1002,  255,  250, 
  1002,  255,  250, 
